pid,mean_enjoyment,n_responses,enjoyment_group,median_session,n_sessions,job_completions,login_count
p1,811.8888888888889,9,Low,24.5,22,15,24.0
p10,908.3148148148148,54,High,195.0,12,40,16.0
p10000,752.0,2,Low,33.5,2,3,2.0
p10002,641.1666666666666,6,Low,93.0,7,14,8.0
p10003,894.5294117647059,17,High,53.0,8,11,13.0
p10004,820.875,56,Low,53.0,29,43,31.0
p10007,699.6578947368421,38,Low,114.0,11,50,15.0
p10008,983.4,5,High,50.0,3,4,4.0
p10009,982.6086956521739,23,High,123.5,8,17,12.0
p1001,993.219512195122,41,High,123.5,22,43,26.0
p10011,974.2,20,High,59.5,10,12,10.0
p10012,768.6666666666666,3,Low,33.0,3,2,5.0
p10013,645.0,1,Low,130.5,8,16,9.0
p10014,990.5,2,High,13.5,12,5,12.0
p10015,913.0,13,High,77.0,9,25,9.0
p10016,865.6111111111111,18,High,55.5,10,17,12.0
p10018,903.4545454545455,11,High,47.0,13,17,13.0
p10020,612.9824561403509,57,Low,76.0,34,38,
p10021,942.46,50,High,85.0,45,46,46.0
p10023,999.3809523809524,21,High,68.0,9,17,9.0
p10024,943.7857142857143,14,High,117.0,6,14,8.0
p10027,801.6,15,Low,89.0,2,10,3.0
p10030,643.0,1,Low,57.0,1,1,1.0
p10032,734.53,100,Low,35.0,131,71,140.0
p10035,976.0,11,High,129.5,4,6,5.0
p10036,622.0,27,Low,281.0,5,20,5.0
p10037,882.7777777777778,9,High,72.0,4,4,6.0
p10038,728.4363636363636,55,Low,89.0,33,40,38.0
p1004,933.0,2,High,20.0,2,2,3.0
p10040,852.0,9,Low,40.0,15,37,15.0
p10041,734.0,1,Low,69.5,2,1,2.0
p10042,951.3333333333334,12,High,58.0,9,13,11.0
p10043,894.4285714285714,7,High,80.0,3,5,3.0
p10044,821.6666666666666,3,Low,121.5,2,4,2.0
p10045,598.0526315789474,38,Low,60.0,35,35,38.0
p10046,791.5,16,Low,97.0,7,10,7.0
p10048,843.8181818181819,11,Low,227.0,3,9,3.0
p10049,762.75,8,Low,249.5,2,3,2.0
p10051,846.4324324324324,37,Low,56.5,12,97,12.0
p10052,1000.0,7,High,338.0,2,20,2.0
p10053,892.5,6,High,43.0,15,14,16.0
p10054,831.3333333333334,3,Low,27.5,2,2,3.0
p10055,909.0,3,High,54.0,1,3,1.0
p10057,896.2,5,High,29.5,18,18,20.0
p10058,901.6363636363636,11,High,183.0,1,6,2.0
p10059,922.15,20,High,19.0,18,15,24.0
p1006,839.6666666666666,3,Low,63.5,2,4,2.0
p10060,985.1463414634146,82,High,353.0,9,41,10.0
p10062,948.3333333333334,6,High,124.5,2,5,2.0
p10063,963.2727272727273,11,High,235.5,2,6,2.0
p10064,954.8666666666667,15,High,62.5,4,17,8.0
p10065,761.0,2,Low,60.0,1,1,1.0
p10066,895.0,5,High,80.0,5,7,7.0
p10067,909.15,40,High,23.5,54,23,60.0
p10069,810.25,12,Low,88.0,5,23,6.0
p1007,217.5,12,Low,31.5,30,24,30.0
p10070,583.0833333333334,12,Low,53.0,11,10,13.0
p10071,627.2272727272727,110,Low,62.5,64,68,72.0
p10072,913.2142857142857,14,High,215.0,3,10,4.0
p10073,718.4423076923077,52,Low,118.0,17,39,19.0
p10074,996.9285714285714,14,High,139.5,6,21,6.0
p10076,978.2857142857143,14,High,41.5,16,12,16.0
p10077,636.0,2,Low,73.0,2,4,2.0
p10078,670.0,15,Low,34.0,21,10,23.0
p10079,950.0909090909091,11,High,148.0,8,10,8.0
p1008,814.0222222222222,45,Low,83.0,39,42,43.0
p10080,766.8235294117648,17,Low,138.0,3,9,8.0
p10081,1000.0,2,High,139.0,1,4,1.0
p10082,994.0,2,High,370.0,1,43,1.0
p10083,712.6521739130435,23,Low,45.0,17,19,20.0
p10084,931.75,16,High,78.0,8,10,9.0
p10085,768.5,12,Low,63.0,7,9,8.0
p10086,847.6666666666666,3,Low,32.5,4,2,4.0
p10087,650.0,3,Low,45.0,3,4,3.0
p10088,896.6818181818181,22,High,76.0,10,23,17.0
p1009,929.7903225806451,124,High,133.0,23,49,27.0
p10090,1000.0,2,High,64.0,1,2,1.0
p10091,656.3571428571429,14,Low,49.0,12,20,14.0
p10092,940.4,15,High,136.0,2,6,3.0
p10093,784.704,125,Low,62.0,93,167,98.0
p10094,942.0,1,High,40.0,1,2,1.0
p10095,992.5,2,High,156.0,1,2,1.0
p10096,942.5555555555555,9,High,23.5,28,19,29.0
p10097,840.8695652173913,23,Low,126.0,7,13,10.0
p10098,939.0,4,High,83.0,6,7,6.0
p10099,862.3125,16,High,28.0,13,15,13.0
p101,997.7777777777778,9,High,34.0,9,17,10.0
p1010,933.3333333333334,3,High,65.5,2,3,2.0
p10100,851.5384615384615,13,Low,79.0,7,16,7.0
p10102,704.3333333333334,6,Low,56.0,3,5,3.0
p10103,888.5555555555555,18,High,34.5,40,25,40.0
p10104,973.5,4,High,17.5,18,13,22.0
p10105,919.0,4,High,100.0,1,3,2.0
p10107,738.3404255319149,47,Low,150.0,15,57,18.0
p1011,929.3333333333334,3,High,62.0,1,3,1.0
p10110,660.5,32,Low,94.0,25,29,25.0
p10111,784.0,2,Low,23.0,3,1,4.0
p10116,988.0,17,High,62.0,9,18,10.0
p10117,988.8333333333334,6,High,66.0,9,7,9.0
p1012,990.1071428571429,28,High,153.0,7,13,10.0
p10123,801.8333333333334,6,Low,113.5,2,5,3.0
p10126,945.1666666666666,42,High,77.0,24,45,26.0
p10127,751.8571428571429,7,Low,9.0,3,4,4.0
p10128,938.875,40,High,101.5,14,49,22.0
